SHITOMASI,1,1370,45.5081,125,4
SHITOMASI,2,1301,21.3494,118,4
SHITOMASI,3,1361,18.7879,123,4
SHITOMASI,4,1358,20.151,120,4
SHITOMASI,5,1333,18.14,120,4
SHITOMASI,6,1284,19.7089,113,4
SHITOMASI,7,1322,19.5858,114,4
SHITOMASI,8,1366,19.2731,123,4
SHITOMASI,9,1389,18.034,111,4
SHITOMASI,10,1339,18.2943,112,4
HARRIS,1,115,19.6182,17,6
HARRIS,2,98,18.5182,14,6
HARRIS,3,113,20.1786,18,6
HARRIS,4,121,19.0871,21,6
HARRIS,5,160,15.6443,26,6
HARRIS,6,381,36.1375,43,6
HARRIS,7,85,14.2896,18,6
HARRIS,8,209,17.1334,30,6
HARRIS,9,169,15.0601,26,6
HARRIS,10,281,21.2484,34,6
FAST,1,1824,0.944076,149,7
FAST,2,1832,0.930478,152,7
FAST,3,1810,0.94268,150,7
FAST,4,1817,0.914105,155,7
FAST,5,1793,0.935248,149,7
FAST,6,1796,1.32867,149,7
FAST,7,1788,0.961045,156,7
FAST,8,1695,0.939905,150,7
FAST,9,1749,1.36983,138,7
FAST,10,1770,1.27889,143,7
BRISK,1,2757,54.2435,264,21.5492
BRISK,2,2777,48.7826,282,21.7853
BRISK,3,2741,48.1782,282,21.6509
BRISK,4,2735,47.5777,277,20.3582
BRISK,5,2757,48.2154,297,22.5911
BRISK,6,2695,48.0351,279,22.9442
BRISK,7,2715,47.7851,289,21.8014
BRISK,8,2628,47.1718,272,22.1472
BRISK,9,2639,46.9851,266,22.5558
BRISK,10,2672,48.5074,254,22.0389
ORB,1,500,13.6909,92,57.0723
ORB,2,500,7.62641,102,57.2273
ORB,3,500,7.47082,106,56.4948
ORB,4,500,7.93793,113,55.1436
ORB,5,500,7.48508,109,56.7442
ORB,6,500,7.55445,125,56.6367
ORB,7,500,7.60005,130,56.7683
ORB,8,500,7.62521,129,55.4296
ORB,9,500,8.53487,127,54.6723
ORB,10,500,9.44189,128,54.3886
AKAZE,1,1351,138.236,166,7.72917
AKAZE,2,1327,129.13,157,7.4902
AKAZE,3,1311,126.564,161,7.45211
AKAZE,4,1351,132.899,155,7.57522
AKAZE,5,1360,129.398,163,7.73319
AKAZE,6,1347,126.706,164,7.68803
AKAZE,7,1363,124.717,173,7.73878
AKAZE,8,1331,125.231,175,7.82612
AKAZE,9,1357,129.286,177,7.81555
AKAZE,10,1331,128.061,179,7.88575
SIFT,1,1438,213.333,138,4.98471
SIFT,2,1371,180.825,132,5.0898
SIFT,3,1380,175.227,124,4.93926
SIFT,4,1335,172.805,137,4.73122
SIFT,5,1305,174.741,134,4.71959
SIFT,6,1370,175.466,140,4.68397
SIFT,7,1396,177.187,137,5.40797
SIFT,8,1382,175.878,148,4.62187
SIFT,9,1463,175.871,159,5.51997
SIFT,10,1422,176.054,137,5.62509
